sku,product type,price,availability,number of products sold,revenue generated,customer demographics,stock levels,order date,lead times,order quantities,shipping date,shipping times,shipping carriers,shipping costs,supplier name,location,lead time,production volumes,manufacturing lead time,manufacturing costs,inspection results,defect rates,transportation modes,routes,costs
SKU0,haircare,69.80800554,55,802,8661.996792,Non-binary,58,13-01-2020,7,96,15-02-2020,4,Carrier B,2.956572139,Supplier 3,Mumbai,29,215,29,46.27987924,Pending,0.226410361,Road,Route B,187.7520755
SKU1,skincare,14.84352328,95,736,7460.900065,Female,53,27-08-2019,30,37,21-09-2019,2,Carrier A,9.716574771,Supplier 3,Mumbai,23,517,30,33.61676895,Pending,4.854068026,Road,Route B,503.0655791
SKU2,haircare,11.31968329,34,8,9577.749626,Unknown,1,26-02-2018,10,88,12-03-2018,2,Carrier B,8.054479262,Supplier 1,Mumbai,12,971,27,30.68801935,Pending,4.580592619,Air,Route C,141.9202818
SKU3,skincare,61.16334302,68,83,7766.836426,Non-binary,23,17-12-2017,13,59,16-01-2018,6,Carrier C,1.729568564,Supplier 5,Kolkata,24,937,18,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592
SKU4,skincare,4.805496036,26,871,2686.505152,Non-binary,5,16-08-2018,3,56,29-08-2018,8,Carrier A,3.890547916,Supplier 1,Delhi,5,414,3,92.0651606,Fail,3.145579523,Air,Route A,923.4406317
SKU5,haircare,1.699976014,87,147,2828.348746,Non-binary,90,28-06-2017,27,66,11-07-2017,3,Carrier B,4.444098864,Supplier 4,Bangalore,10,104,17,56.76647556,Fail,2.779193512,Road,Route A,235.4612367
SKU6,skincare,4.078332863,48,65,7823.47656,Male,11,12-01-2016,15,58,03-02-2016,8,Carrier C,3.880763303,Supplier 3,Kolkata,14,314,24,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969
SKU7,cosmetics,42.95838438,59,426,8496.103813,Female,93,18-03-2017,17,11,10-04-2017,1,Carrier B,2.348338784,Supplier 4,Bangalore,22,564,1,99.4661086,Fail,0.398177187,Road,Route C,802.0563118
SKU8,cosmetics,68.71759675,78,150,7517.363211,Female,5,15-09-2017,10,15,05-10-2017,7,Carrier C,3.404733857,Supplier 4,Mumbai,13,769,8,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342
SKU9,skincare,64.01573294,35,980,4971.145988,Unknown,14,20-10-2020,27,83,19-11-2020,1,Carrier A,7.166645291,Supplier 2,Chennai,29,963,23,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615
SKU10,skincare,15.70779568,11,996,2330.965802,Non-binary,51,21-10-2019,13,80,10-11-2019,2,Carrier C,8.673211211,Supplier 5,Kolkata,18,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777
SKU11,skincare,90.63545998,95,960,6099.944116,Female,46,13-01-2019,23,60,11-02-2019,1,Carrier A,4.523943124,Supplier 2,Kolkata,28,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334
SKU12,haircare,71.21338908,41,336,2873.741446,Unknown,100,03-05-2018,30,85,10-05-2018,4,Carrier A,1.32527401,Supplier 4,Kolkata,3,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891
SKU13,skincare,16.16039332,5,249,4052.738416,Male,80,10-06-2016,8,48,12-07-2016,9,Carrier A,9.537283061,Supplier 5,Bangalore,23,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052
SKU14,skincare,99.17132864,26,562,8653.570926,Non-binary,54,05-11-2020,29,78,05-12-2020,5,Carrier B,2.039770189,Supplier 1,Kolkata,25,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529
SKU15,skincare,36.98924493,94,469,5442.086785,Non-binary,9,24-09-2019,8,69,15-10-2019,7,Carrier B,2.422039723,Supplier 1,Bangalore,14,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618
SKU16,skincare,7.54717211,74,280,6453.797968,Female,2,05-11-2016,5,78,09-11-2016,1,Carrier B,4.191324586,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798
SKU17,cosmetics,81.46253437,82,126,2629.396435,Female,45,19-04-2017,17,85,05-05-2017,9,Carrier C,3.585418958,Supplier 1,Chennai,7,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908
SKU18,haircare,36.44362777,23,620,9364.673505,Unknown,10,06-11-2019,10,46,02-12-2019,8,Carrier C,4.339224714,Supplier 2,Kolkata,18,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587
SKU19,skincare,51.12387009,100,187,2553.495585,Unknown,48,11-04-2017,11,94,04-05-2017,3,Carrier A,4.742635883,Supplier 4,Chennai,20,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311
SKU20,skincare,96.34107244,22,320,8128.027697,Unknown,27,30-08-2016,12,68,04-10-2016,6,Carrier A,8.878334651,Supplier 1,Chennai,29,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153
SKU21,cosmetics,84.89386898,60,601,7087.052696,Unknown,69,26-10-2017,25,7,20-11-2017,6,Carrier B,6.037883769,Supplier 5,Chennai,19,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147
SKU22,haircare,27.67978089,55,884,2390.807867,Unknown,71,10-09-2020,1,63,12-10-2020,10,Carrier A,9.567648921,Supplier 4,Kolkata,22,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958
SKU23,cosmetics,4.324341186,30,391,8858.367571,Unknown,84,08-12-2020,5,29,26-12-2020,7,Carrier A,2.924857601,Supplier 5,Kolkata,11,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461
SKU24,haircare,4.156308359,32,209,9049.077861,Male,4,03-03-2017,26,2,08-04-2017,8,Carrier C,9.741291689,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726
SKU25,haircare,39.62934399,73,142,2174.777054,Male,82,25-10-2018,11,52,16-11-2018,3,Carrier C,2.231073681,Supplier 4,Kolkata,19,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457
SKU26,haircare,97.44694662,9,353,3716.493326,Male,59,11-08-2020,16,48,10-09-2020,4,Carrier B,6.507548621,Supplier 2,Bangalore,26,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165
SKU27,cosmetics,92.55736081,42,352,2686.457224,Unknown,47,01-01-2018,9,62,03-02-2018,8,Carrier C,7.406750953,Supplier 5,Mumbai,25,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822
SKU28,cosmetics,2.397274706,12,394,6117.324615,Female,48,07-03-2018,15,24,24-03-2018,4,Carrier B,9.898140508,Supplier 1,Mumbai,13,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275
SKU29,cosmetics,63.44755919,3,253,8318.903195,Female,45,10-05-2019,5,67,02-06-2019,7,Carrier B,8.100973145,Supplier 1,Kolkata,16,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759
SKU30,haircare,8.022859211,10,327,2766.342367,Male,60,04-08-2017,26,35,07-09-2017,7,Carrier B,8.954528315,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882
SKU31,skincare,50.84739305,28,168,9655.135103,Male,6,09-09-2018,17,44,07-10-2018,4,Carrier B,2.679660965,Supplier 3,Chennai,24,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066
SKU32,skincare,79.20993602,43,781,9571.550487,Unknown,89,20-03-2018,13,64,23-04-2018,4,Carrier C,6.599104901,Supplier 3,Kolkata,30,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095
SKU33,cosmetics,64.795435,63,616,5149.99835,Non-binary,4,23-08-2016,17,95,02-09-2016,9,Carrier C,4.858270503,Supplier 5,Chennai,1,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955
SKU34,skincare,37.46759233,96,602,9061.710896,Unknown,1,28-08-2016,26,21,08-09-2016,7,Carrier A,1.019487571,Supplier 1,Chennai,4,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004
SKU35,cosmetics,84.95778682,11,449,6541.329345,Female,42,23-06-2016,27,85,04-07-2016,8,Carrier C,5.28818999,Supplier 1,Delhi,3,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712
